filename,width,height,class,xmin,ymin,xmax,ymax
File00115_jpg.rf.05ba4c857d59e9d9acf9457148297675.jpg,400,258,Towel_clip,121,50,305,195
File00118_jpg.rf.05c34f3aca88c06813fc7e163fab6f6f.jpg,400,400,Castroviejo,23,26,378,380
File00079_jpg.rf.071253c231bbcfed517a0f774afeabdf.jpg,400,400,Yankauer,34,83,370,337
File00030_jpg.rf.07c0246f71a499249cb5aed1782f0dcf.jpg,300,169,Hemostat,4,9,297,150
File00050_jpg.rf.0b3a5281c774bf199c46855a8b5ad799.jpg,303,640,Army_navy,101,53,184,571
File00197_jpg.rf.0bc58f208f0ab5ae93b74eee930592eb.jpg,151,160,Army_navy,15,1,151,147
File00197_jpg.rf.0bc58f208f0ab5ae93b74eee930592eb.jpg,151,160,Army_navy,6,20,128,154
File00053_jpg.rf.0f4c5dd60cf549944486e809d4fa61b4.jpg,400,400,Richardson,22,68,382,315
File00104_jpg.rf.1212e4ffe8fa18d4dea1e40d733abe0f.jpg,640,640,Towel_clip,222,68,505,589
File00177_jpg.rf.102944f237898e17ae385730cf6d02b5.jpg,240,161,Richardson,22,8,206,138
File00150_jpg.rf.053ce557de299d49ec02af29dc96d189.jpg,300,400,Potts,82,5,199,398
File00066_jpg.rf.070e065f32732c13504cada801ddc785.jpg,1920,1080,Castroviejo,82,400,1821,683
File00191_jpg.rf.0711db26e07f744a8cdbe4dccf03ac02.jpg,1000,1000,Potts,125,64,985,811
File00164_jpg.rf.0e950f18df549c799458a69cffc97dfe.jpg,480,640,Iris,86,274,349,382
File00040_jpg.rf.0dfc8c4c3cfd70757bb77d504d004638.jpg,640,640,Bulldog,33,76,604,535
File00012_jpg.rf.17836c3f4bab032a26ae5db7fabbb0af.jpg,474,331,Forceps,74,111,474,206
File00111_jpg.rf.16cc596fdcb18e01bf0bce8e9c61c9f7.jpg,400,400,Scalpel,244,18,306,400
File00067_jpg.rf.1c206ec602f3b1d6fb02decbecb6d45c.jpg,400,400,Frazier,25,22,360,348
File00067_jpg.rf.1c206ec602f3b1d6fb02decbecb6d45c.jpg,400,400,Frazier,19,152,255,326
File00091_jpg.rf.1bcba61a2b9743f4b152fc9412c88704.jpg,400,300,Towel_clip,18,46,382,253
File00006_jpg.rf.13385937c907702a7a929d986164fe75.jpg,474,315,Potts,94,123,474,265
File00147_jpg.rf.15b32b5005ae29d5463db95cfae66524.jpg,640,480,Potts,84,124,623,341
File00135_jpg.rf.19707a8ca2b1a56a5fb91cabf393f0c2.jpg,400,400,Potts,3,5,398,387
File00137_jpg.rf.203a419e15445ba35ffc60a289b25781.jpg,400,400,Potts,208,53,397,179
File00137_jpg.rf.203a419e15445ba35ffc60a289b25781.jpg,400,400,Potts,18,89,384,340
File00070_jpg.rf.1fbf4584f22d97e587b09234a201965a.jpg,500,500,Needle,38,100,471,420
File00138_jpg.rf.13fe9c79f0ed959a0bf6b7c6eac61cdb.jpg,1000,1000,Potts,13,123,993,872
File00086_jpg.rf.1cecddb84f66618526b057e4253af340.jpg,400,300,Weitlaner,50,10,351,230
File00086_jpg.rf.1cecddb84f66618526b057e4253af340.jpg,400,300,Weitlaner,0,147,186,265
File00049_jpg.rf.21f32c5d131653b170533dee73857204.jpg,235,400,Richardson,86,13,134,357
File00049_jpg.rf.21f32c5d131653b170533dee73857204.jpg,235,400,Richardson,134,15,206,356
File00049_jpg.rf.21f32c5d131653b170533dee73857204.jpg,235,400,Richardson,35,14,90,358
File00132_jpg.rf.23e0687115b5cf8569d7ef9d4ee45f86.jpg,400,400,Towel_clip,42,33,117,250
File00132_jpg.rf.23e0687115b5cf8569d7ef9d4ee45f86.jpg,400,400,Towel_clip,74,25,329,375
File00162_jpg.rf.249674490e66b98b33820319ec3fac28.jpg,640,236,Potts,32,40,601,213
File00183_jpg.rf.2508e36a175fc2488a133926f65efaca.jpg,640,606,Potts,37,102,598,488
File00041_jpg.rf.29e1b56d603cc57b0f9c0a36bb0704d6.jpg,547,640,Weitlaner,0,5,195,237
File00041_jpg.rf.29e1b56d603cc57b0f9c0a36bb0704d6.jpg,547,640,Weitlaner,4,10,532,634
File00143_jpg.rf.2b98851c50f922c214dd77de2559ae17.jpg,400,300,Yankauer,21,0,309,300
File00075_jpg.rf.2c7a0ee9d46fd68f70bfdf5b84c7dfa3.jpg,400,400,Frazier,29,46,377,352
File00131_jpg.rf.31953450266eb586bad5d51ffc7d0e77.jpg,700,700,Weitlaner,149,25,398,674
File00099_jpg.rf.31ff068044916b0ec8bc43b3f1d5280f.jpg,335,500,Needle,41,20,291,445
File00097_jpg.rf.32354fc6e839f81e55902ee03c0e99c5.jpg,400,400,Richardson,92,40,302,361
File00003_jpg.rf.3318f3039fe9f071d1e1c6e7aa5a5eab.jpg,474,315,Scalpel,1,122,344,251
File00003_jpg.rf.3318f3039fe9f071d1e1c6e7aa5a5eab.jpg,474,315,Scalpel,111,15,474,167
File00120_jpg.rf.335a8341ff0a2d0a63d297dcc8d73ea6.jpg,640,617,Bulldog,38,96,619,541
File00125_jpg.rf.351dfc9a04aaad3e3126e69f63da2d8d.jpg,1000,856,Castroviejo,15,10,998,834
File00169_jpeg.rf.377f7f0556841364de88254ba61458ab.jpg,225,225,Needle,4,0,215,220
File00018_jpg.rf.38c5ef53bf5c49f9e14d4556ea9f5c55.jpg,474,474,Scalpel,0,46,330,364
File00186_jpg.rf.3a6527d3324146212868484fe841e51d.jpg,640,500,Potts,111,40,565,459
File00001_jpg.rf.3b2b6955a54be5cbfa8b6de39c7e43a0.jpg,474,306,Iris,38,62,431,240
File00172_jpg.rf.3c65ae77ba3282e6dfc61e2d6cd45630.jpg,400,79,Frazier,7,12,391,71
File00027_jpg.rf.3c859da0ebc5e41bccdb96d17e6b3ea9.jpg,474,355,Forceps,212,43,261,322
File00117_jpg.rf.3cb00166809c9b5d9758948a35413413.jpg,640,640,Yankauer,28,53,601,584
File00024_jpg.rf.3d0355abf85ea00d91f726c13a078dcf.jpg,474,266,Potts,98,53,474,212
File00133_jpg.rf.3d212156ffe4dbe586aed9003bcff64f.jpg,400,336,Weitlaner,52,28,338,316
File00042_jpg.rf.3d84d3d59debe05b2bb4d5a2a5eb17de.jpg,640,640,Frazier,66,38,587,586
File00073_jpg.rf.3ea10760cf10e029c240ba944b3a183d.jpg,1200,1200,Needle,168,227,1059,1028
File00048_jpg.rf.3ed0d3d6f9984f6fc7318ed7452a1221.jpg,640,640,Richardson,60,58,596,579
File00158_JPG.rf.3db346b95cab79ea30d7e2169fd4965d.jpg,225,225,Hemostat,15,22,177,216
File00184_jpg.rf.42456e20116f2c35eec20a73acf498a3.jpg,640,640,Iris,53,132,619,519
